fileName,k,epsilon,startDatetime,endDatetime,duration,seedSize,estimatedScore
nethept,1000,0.05,Sat Jan 19 19:38:11 2019,Sat Jan 19 19:38:23 2019,11.54,1000,5830.23
nethept,1000,0.05,Sat Jan 19 19:43:20 2019,Sat Jan 19 19:43:32 2019,12.0087,1000,5830.23
nethept,4714,0.05,Sat Jan 19 19:45:38 2019,Sat Jan 19 19:46:09 2019,31.1396,4714,12435.7
nethept,1000,0.1,Tue Jan 22 14:35:22 2019,Tue Jan 22 14:35:25 2019,2.66628,1000,5852.57
nethept,2000,0.1,Tue Jan 22 14:35:26 2019,Tue Jan 22 14:35:28 2019,2.55529,2000,8417.92
nethept,3000,0.1,Tue Jan 22 14:35:29 2019,Tue Jan 22 14:35:33 2019,3.47116,3000,10420.2
nethept,4000,0.1,Tue Jan 22 14:35:34 2019,Tue Jan 22 14:35:39 2019,5.08832,4000,11835
nethept,5000,0.1,Tue Jan 22 14:35:42 2019,Tue Jan 22 14:35:49 2019,7.46005,5000,12680.1
nethept,6000,0.1,Tue Jan 22 14:35:53 2019,Tue Jan 22 14:36:00 2019,7.92763,6000,13270.3
nethept,7000,0.1,Tue Jan 22 14:36:04 2019,Tue Jan 22 14:36:13 2019,8.88203,7000,13751.2
nethept,8000,0.1,Tue Jan 22 14:36:16 2019,Tue Jan 22 14:36:26 2019,9.00961,8000,14159.1
nethept,9000,0.1,Tue Jan 22 14:36:30 2019,Tue Jan 22 14:36:40 2019,10.4833,9000,14482.6
nethept,10000,0.1,Tue Jan 22 14:36:45 2019,Tue Jan 22 14:36:55 2019,10.3083,10000,14760.1
nethept,50,0.1,Tue Apr 16 17:26:58 2019,Tue Apr 16 17:26:59 2019,0.538418,50,54.2588
nethept,50,0.1,Tue Apr 16 17:27:53 2019,Tue Apr 16 17:27:54 2019,0.546547,50,54.2588
nethept,50,0.1,Tue Apr 16 17:29:18 2019,Tue Apr 16 17:29:19 2019,0.534609,50,54.2588
nethept,50,0.1,Tue Apr 16 17:33:16 2019,Tue Apr 16 17:33:17 2019,1.17839,50,54.3854
