dataset,streamModel,streamVersion,streamSize,reach,theta_ap,depth,maxSeedSize,actualSeedSize,maxUpdateTime,runtime
dblp,uniform_rand_repeat,1,317080,1,0.8,2,800,800,1.1e-05,0.378362
dblp,uniform_rand_repeat,1,317080,0.5,0.8,2,800,800,1.4e-05,0.385755
dblp,uniform_rand_repeat,1,317080,0.25,0.8,2,800,800,5e-06,0.409277
dblp,uniform_rand_repeat,1,317080,0.1,0.8,2,800,350,5e-06,0.400021
dblp,uniform_rand_repeat,1,317080,0.05,0.8,2,800,173,5e-06,0.398693
dblp,uniform_rand_repeat,1,317080,0.025,0.8,2,800,89,1e-05,0.397397
dblp,uniform_rand_repeat,2,317080,1,0.8,2,800,800,3e-06,0.373389
dblp,uniform_rand_repeat,2,317080,0.5,0.8,2,800,800,1.3e-05,0.384558
dblp,uniform_rand_repeat,2,317080,0.25,0.8,2,800,800,4e-06,0.408572
dblp,uniform_rand_repeat,2,317080,0.1,0.8,2,800,310,5e-06,0.40195
dblp,uniform_rand_repeat,2,317080,0.05,0.8,2,800,156,4e-06,0.398061
dblp,uniform_rand_repeat,2,317080,0.025,0.8,2,800,75,5e-06,0.396892
