youtube,uniform_rand_repeat,1,1134890,1,0.8,2,800,0,0,1.07255
youtube,uniform_rand_repeat,1,1134890,10,0.8,2,800,0,0,1.06279
youtube,uniform_rand_repeat,1,1134890,20,0.8,2,800,0,0,1.06021
youtube,uniform_rand_repeat,1,1134890,90,0.8,2,800,0,0,1.06141
youtube,uniform_rand_repeat,1,1000000,1,0.8,2,800,800,0.000103,1.0918
youtube,uniform_rand_repeat,1,1000000,0.5,0.8,2,800,800,0.000101,1.10479
youtube,uniform_rand_repeat,1,1000000,0.25,0.8,2,800,800,0.000118,1.12855
youtube,uniform_rand_repeat,1,1000000,0.1,0.8,2,800,800,0.00011,1.19578
youtube,uniform_rand_repeat,1,1000000,0.05,0.8,2,800,522,0.000112,1.21687
youtube,uniform_rand_repeat,1,1000000,0.025,0.8,2,800,262,0.000109,1.20762
youtube,uniform_rand_repeat,1,1000000,0.01,0.8,2,800,106,0.000115,1.20159
youtube,uniform_rand_repeat,2,1000000,1,0.8,2,800,800,6.5e-05,1.09163
youtube,uniform_rand_repeat,2,1134890,0.5,0.8,2,800,0,0,1.06131
youtube,uniform_rand_repeat,2,1000000,0.5,0.8,2,800,800,5.9e-05,1.10275
youtube,uniform_rand_repeat,2,1000000,0.25,0.8,2,800,800,6e-05,1.12787
youtube,uniform_rand_repeat,2,1000000,0.1,0.8,2,800,800,9e-05,1.19784
youtube,uniform_rand_repeat,2,1000000,0.05,0.8,2,800,480,8.8e-05,1.21209
youtube,uniform_rand_repeat,2,1000000,0.025,0.8,2,800,259,8.8e-05,1.20518
youtube,uniform_rand_repeat,2,1000000,0.01,0.8,2,800,99,8.9e-05,1.19094
youtube,inNOut_repeat,1,113489,1,0.8,2,800,800,0.000203,0.02012
youtube,inNOut_repeat,1,113489,0.5,0.8,2,800,800,0.000315,0.030586
youtube,inNOut_repeat,1,113489,0.25,0.8,2,800,800,0.00023,0.029364
youtube,inNOut_repeat,1,113489,0.1,0.8,2,800,800,0.0003,0.033995
youtube,inNOut_repeat,1,113489,0.05,0.8,2,800,800,0.000307,0.037015
youtube,inNOut_repeat,1,113489,0.025,0.8,2,800,800,0.000303,0.038531
youtube,inNOut_repeat,1,113489,0.01,0.8,2,800,800,0.000261,0.047366
youtube,inNOut_repeat,1,113489,0.005,0.8,2,800,746,0.000264,0.059069
youtube,inNOut_repeat,1,113489,0.0025,0.8,2,800,529,0.000309,0.052931
youtube,inNOut_repeat,1,113489,0.001,0.8,2,800,313,0.000275,0.045879
youtube,inNOut_repeat,1,113489,0.0005,0.8,2,800,212,0.000312,0.04412
youtube,inNOut_repeat,1,113489,1,0.8,2,10000,10000,0.000172,0.142097
youtube,inNOut_repeat,1,113489,0.5,0.8,2,10000,10000,0.000274,0.183737
youtube,inNOut_repeat,1,113489,0.01,0.8,2,10000,1183,0.000183,0.045288
youtube,inNOut_repeat,1,113489,0.025,0.8,2,10000,2036,0.000247,0.079188
youtube,inNOut_repeat,1,113489,0.05,0.8,2,10000,3015,0.000144,0.067797
youtube,inNOut_repeat,1,113489,0.06,0.8,2,10000,3337,0.000284,0.106114
youtube,inNOut_repeat,1,113489,0.07,0.8,2,10000,3665,0.000268,0.106394
youtube,inNOut_repeat,1,113489,0.08,0.8,2,10000,3932,0.000279,0.114602
youtube,inNOut_repeat,1,113489,0.09,0.8,2,10000,4242,0.00027,0.115109
youtube,inNOut_repeat,1,113489,0.1,0.8,2,10000,4491,0.000261,0.118207
youtube,inNOut_repeat,1,113489,0.2,0.8,2,10000,6484,0.000261,0.143526
youtube,inNOut_repeat,1,113489,0.3,0.8,2,10000,8144,0.000283,0.160922
youtube,inNOut_repeat,1,113489,0.4,0.8,2,10000,9487,0.000277,0.181573
youtube,inNOut_repeat,1,113489,0.5,0.8,2,10000,10000,0.000259,0.17663
youtube,inNOut_repeat,1,113489,0.01,0.5,2,10000,1183,0.00016,0.047655
youtube,inNOut_repeat,1,113489,0.01,0.1,2,10000,969,0.000255,0.064964
youtube,inNOut_repeat,1,113489,0.02,0.1,2,10000,1231,0.000316,0.070526
youtube,inNOut_repeat,1,113489,0.01,0.2,2,10000,1153,0.000262,0.069079
youtube,inNOut_repeat,1,113489,0.01,0.15,2,10000,1103,0.000296,0.069977
youtube,inNOut_repeat,1,113489,0.01,0.12,2,10000,1047,0.000273,0.066144
youtube,inNOut_repeat,1,113489,0.05,0.01,2,1000,483,0.000196,0.033534
youtube,inNOut_repeat,1,113489,1,0.01,2,1000,1000,0.000286,0.039707
youtube,inNOut_repeat,1,113489,0.1,0.01,2,1000,635,0.000246,0.052118
youtube,inNOut_repeat,1,113489,0.5,0.01,2,1000,1000,0.000236,0.041489
youtube,inNOut_repeat,1,113489,0.01,0.8,2,1000,1000,0.00015,0.039768
youtube,inNOut_repeat,1,113489,0.01,0.8,2,1000,1000,0.000254,0.061994
