fileName,k,epsilon,startDatetime,endDatetime,duration,seedSize,estimatedScore
livejournal,50,0.5,Wed Nov  7 14:52:45 2018,Wed Nov  7 14:52:52 2018,6.92712,50,103575
livejournal,50,0.1,Wed Nov  7 17:31:11 2018,Wed Nov  7 17:32:11 2018,60.3808,50,102717
livejournal,100,0.5,Wed Nov  7 17:34:39 2018,Wed Nov  7 17:34:48 2018,9.34054,100,143249
livejournal,100,0.1,Wed Nov  7 17:36:54 2018,Wed Nov  7 17:38:12 2018,77.6102,100,141827
livejournal,150,0.5,Wed Nov  7 17:39:15 2018,Wed Nov  7 17:39:28 2018,12.7645,150,168024
livejournal,150,0.1,Wed Nov  7 17:40:19 2018,Wed Nov  7 17:41:51 2018,92.198,150,166517
livejournal,200,0.5,Wed Nov  7 17:42:49 2018,Wed Nov  7 17:43:05 2018,15.9056,200,188818
livejournal,200,0.1,Wed Nov  7 17:45:05 2018,Wed Nov  7 17:46:52 2018,107.698,200,185298
livejournal,250,0.5,Wed Nov  7 17:48:04 2018,Wed Nov  7 17:48:23 2018,19.1269,250,204205
livejournal,250,0.1,Wed Nov  7 17:49:23 2018,Wed Nov  7 17:51:25 2018,121.552,250,202126
livejournal,300,0.5,Wed Nov  7 17:52:33 2018,Wed Nov  7 17:52:55 2018,22.4453,300,219296
livejournal,300,0.1,Wed Nov  7 19:44:05 2018,Wed Nov  7 19:46:30 2018,144.36,300,216510
livejournal,1000,0.1,Thu Jan 31 11:19:18 2019,Thu Jan 31 11:23:25 2019,246.997,1000,346951
livejournal,2000,0.1,Thu Jan 31 11:23:26 2019,Thu Jan 31 11:27:27 2019,240.782,2000,443260
livejournal,3000,0.1,Thu Jan 31 11:27:32 2019,Thu Jan 31 11:30:09 2019,156.485,3000,507631
livejournal,4000,0.1,Thu Jan 31 11:30:15 2019,Thu Jan 31 11:34:14 2019,238.744,4000,557834
livejournal,5000,0.1,Thu Jan 31 11:34:24 2019,Thu Jan 31 11:39:07 2019,282.994,5000,599707
livejournal,6000,0.1,Thu Jan 31 11:39:20 2019,Thu Jan 31 11:44:47 2019,326.825,6000,635998
livejournal,7000,0.1,Thu Jan 31 11:45:04 2019,Thu Jan 31 11:51:16 2019,372.202,7000,668347
livejournal,8000,0.1,Thu Jan 31 11:51:36 2019,Thu Jan 31 11:58:33 2019,417.572,8000,697692
livejournal,9000,0.1,Thu Jan 31 11:58:57 2019,Thu Jan 31 12:06:42 2019,465.197,9000,724677
livejournal,10000,0.1,Thu Jan 31 12:07:08 2019,Thu Jan 31 12:15:53 2019,525.075,10000,749669
livejournal,20000,0.1,Thu Jan 31 14:59:42 2019,Thu Jan 31 15:36:38 2019,2216.33,20000,938382
livejournal,50,0.5,Fri Jun  7 20:28:45 2019,Fri Jun  7 20:30:21 2019,96.1827,50,77.3599
livejournal,100,0.5,Fri Jun  7 20:31:40 2019,Fri Jun  7 20:33:14 2019,93.8186,100,155.241
livejournal,200,0.5,Fri Jun  7 20:35:36 2019,Fri Jun  7 20:37:10 2019,93.7747,200,313.961
livejournal,500,0.5,Fri Jun  7 20:40:27 2019,Fri Jun  7 20:42:16 2019,109.614,500,805.842
livejournal,1000,0.5,Fri Jun  7 20:44:36 2019,Fri Jun  7 20:47:08 2019,152.047,1000,1610.18
livejournal,50,0.5,Fri Jun  7 20:50:53 2019,Fri Jun  7 20:50:53 2019,0.000373,50,51.4354
livejournal,50,0.5,Fri Jun  7 20:54:44 2019,Fri Jun  7 20:55:03 2019,19.2481,50,77.4906
livejournal,100,0.5,Fri Jun  7 20:55:40 2019,Fri Jun  7 20:55:57 2019,17.167,100,154.705
livejournal,200,0.5,Fri Jun  7 20:57:04 2019,Fri Jun  7 20:57:23 2019,18.3952,200,311.397
livejournal,500,0.5,Fri Jun  7 21:01:16 2019,Fri Jun  7 21:01:41 2019,25.1069,500,771.526
livejournal,1000,0.5,Fri Jun  7 21:02:52 2019,Fri Jun  7 21:03:27 2019,34.6656,1000,1540.06
livejournal,50,0.5,Fri Jun  7 21:05:54 2019,Fri Jun  7 21:06:38 2019,43.4773,50,76.4978
livejournal,100,0.5,Fri Jun  7 21:07:58 2019,Fri Jun  7 21:08:38 2019,40.1345,100,155.483
livejournal,200,0.5,Fri Jun  7 21:11:25 2019,Fri Jun  7 21:12:07 2019,42.4187,200,310.594
livejournal,500,0.5,Fri Jun  7 21:13:08 2019,Fri Jun  7 21:13:58 2019,49.1131,500,799.42
livejournal,1000,0.5,Fri Jun  7 21:16:19 2019,Fri Jun  7 21:17:37 2019,77.5339,1000,1550.8
livejournal,50,0.5,Fri Jun  7 21:22:07 2019,Fri Jun  7 21:23:07 2019,60.5212,50,78.1023
livejournal,100,0.5,Fri Jun  7 21:24:43 2019,Fri Jun  7 21:25:42 2019,59.0956,100,158.969
livejournal,200,0.5,Fri Jun  7 21:26:49 2019,Fri Jun  7 21:27:52 2019,63.3975,200,318.672
livejournal,500,0.5,Fri Jun  7 21:28:54 2019,Fri Jun  7 21:30:18 2019,84.0496,500,791.849
livejournal,1000,0.5,Fri Jun  7 21:32:17 2019,Fri Jun  7 21:34:13 2019,116.477,1000,1582.25
livejournal,50,0.5,Sat Jun  8 00:12:39 2019,Sat Jun  8 00:12:59 2019,19.2261,50,77.4906
