seen,influence_threshold,user_index,ap, infScore, seed_size
11,331.188,657449,0,1787.38,1
21,331.159,1239,0,1166.79,2
26,331.023,5205,0.000581737,568.895,3
47,330.354,6400,0.000315512,652.391,4
52,330.166,3424,0.000849441,2772.71,5
58,329.88,26084,0.00382893,1834.65,6
59,329.639,102903,0.000214504,774.278,7
64,329.563,642782,0.00218083,918.696,8
75,329.476,3491,0.00156238,1045.49,9
80,328.924,729,0.00619092,747.683,10
81,328.765,469,0.0046871,1223.56,11
85,328.295,21159,0.00118722,889.53,12
92,327.425,62903,0.00388467,454.336,13
102,327.394,179149,0.000470928,922.323,14
103,327.17,662634,0.0110962,2131.13,15
105,326.842,1071,0.00360527,24528,16
118,326.825,883,0.058161,1675.07,17
120,326.723,1587,0.00417824,529.651,18
132,326.438,38384,0.0130245,1530.74,19
137,326.023,928,0.061465,7199.25,20
142,325.928,69931,0.00766348,912.625,21
143,325.802,1210,0.15997,1457.04,22
147,325.618,362,0.0376177,13097.6,23
150,325.325,89639,0.00716225,426.102,24
157,325.273,2774,0.0270013,719.144,25
172,325.239,645916,0.00822789,1782.67,26
182,325.065,646628,0.0030721,701.346,27
183,324.839,2485,0.0461268,404.784,28
184,324.472,8256,0.064151,437.31,29
202,324.409,268336,0.00803593,1416.77,30
203,324.307,3008,0.112658,450.774,31
206,324.144,91958,0.0125702,750.203,32
209,324.137,47794,0.0278333,617.623,33
215,323.982,1036,0.0538863,1392.76,34
231,323.919,1190,0.0338899,3534.22,35
234,323.85,114921,0.0681352,363.144,36
237,323.643,18858,0.0128861,1324.73,37
239,323.45,20234,0.0590428,924.158,38
248,323.346,516,0.0391199,2720.67,39
265,323.327,2834,0.0736864,363.926,40
295,322.871,62726,0.0240461,352.218,41
301,322.664,20754,0.0323195,373.963,42
307,322.129,13024,0.084533,1306.41,43
310,321.997,2234,0.0720545,360.516,44
316,321.985,14702,0.0286062,548.644,45
327,321.937,20795,0.0431583,530.376,46
329,321.366,77260,0.0500924,421.234,47
388,321.126,2759,0.102242,986.39,48
399,321.119,3162,0.109231,1950.93,49
400,320.871,2720,0.118816,744.246,50
409,320.805,3523,0.104895,1296.19,51
416,320.59,889,0.136733,1607.56,52
418,320.373,275,0.131802,774.855,53
424,320.353,35660,0.0073562,10453.8,54
426,320.346,403,0.187051,1816.88,55
431,320.314,280435,0.055796,2516.28,56
434,319.954,20586,0.0972658,355.696,57
441,319.819,661610,0.0540139,1092.3,58
447,319.754,833,0.206658,471.139,59
450,319.692,20081,0.118419,512.564,60
460,319.545,5826,0.103651,383.382,61
463,319.534,684215,0.0735589,1350.78,62
479,318.659,648298,0.0490382,608.682,63
483,318.491,108623,0.0827535,4365.35,64
525,318.258,2708,0.0448433,439.733,65
534,318.251,19462,0.0509317,361.967,66
535,318.211,866,0.156807,319.871,67
536,317.877,94059,0.0375053,509.898,68
542,317.854,1489,0.112611,2343.72,69
553,317.773,2711,0.243416,323.354,70
563,317.516,105,0.125511,9712.43,71
570,317.134,106354,0.165659,1920.43,72
571,316.541,23129,0.141864,726.336,73
577,316.526,642861,0.0827252,8337.83,74
583,316.273,643719,0.190586,2619.09,75
585,316.216,27976,0.202148,591.395,76
592,315.882,1259,0.178159,1013.64,77
597,315.702,2559,0.128443,542.23,78
602,315.647,2344,0.170595,880.656,79
612,315.493,155431,0.16121,2689.17,80
613,315.181,18613,0.0869652,448.496,81
636,315.145,722,0.27737,1871.31,82
637,314.955,3899,0.0802782,659.96,83
652,314.704,3101,0.0828862,976.286,84
655,314.635,801,0.440763,1172.61,85
661,314.513,115240,0.275352,2631.59,86
670,314.493,4541,0.243075,1407.88,87
671,314.293,18172,0.185573,1184.79,88
681,314.171,2525,0.259586,3359.65,89
685,313.93,642490,0.438006,3178.25,90
701,313.696,8879,0.274339,604.348,91
704,313.382,9239,0.294357,336.775,92
706,313.145,3916,0.0714507,427.966,93
717,313.03,515983,0.593674,702.955,94
719,312.98,805,0.409538,1960.62,95
720,312.893,642,0.197618,399.81,96
725,312.691,742,0.451146,1037.34,97
730,312.288,646255,0.155099,1764.64,98
732,312.206,650456,0.0489298,470.503,99
733,312.153,27543,0.0730847,1950.66,100
736,311.507,61543,0.353514,384.618,101
742,311.376,6210,0.3685,529.68,102
747,311.031,1845,0.278601,3808.39,103
751,310.895,2608,0.444319,401.39,104
754,310.177,15143,0.437582,763.555,105
782,310.155,196,0.274676,1985.28,106
787,310.115,37027,0.0745718,714.084,107
793,310.014,37063,0.0919062,772.173,108
796,310,1009453,0.340415,622.318,109
800,309.957,21080,0.295797,470.144,110
804,309.917,3219,0.325266,401.652,111
813,309.82,2810,0.396266,949.59,112
816,309.619,357530,0.437791,2058.82,113
825,309.228,657357,0.0659359,887.135,114
835,309.118,254926,0.246295,1391.72,115
837,309.043,3371,0.571035,554.29,116
838,309.008,75543,0.340834,1575.57,117
841,308.428,36072,0.134585,511.094,118
862,307.848,132538,0.0992818,540.166,119
868,307.768,807,0.381921,5724.15,120
883,307.635,26352,0.0278558,511.204,121
899,307.593,62875,0.456446,1937.53,122
902,307.498,18105,0.30022,697.009,123
903,307.409,663582,0.502321,419.357,124
919,307.184,110104,0.192275,2525.99,125
924,307.091,20024,0.169457,1796.85,126
943,307.078,1013167,0.0945112,311.153,127
945,307.071,20964,0.368341,371.752,128
946,307.02,78636,0.159243,472.085,129
950,306.997,2844,0.315186,1472.14,130
951,306.702,2282,0.58489,2050.83,131
953,306.347,9734,0.516577,592.658,132
963,305.569,27203,0.0750677,377.948,133
964,305.249,479,0.502358,3985.7,134
981,305.204,16013,0.561854,407.238,135
984,305.185,108601,0.107454,2004.08,136
988,305.085,79719,0.565408,415.372,137
989,305.019,66332,0.112839,319.144,138
990,304.699,131027,0.0473328,623.62,139
1002,304.499,20363,0.22601,2398.2,140
1019,304.444,21,0.441334,1904.31,141
1023,304.063,94026,0.572097,1944.91,142
1035,303.995,692623,0.0343161,330.159,143
1041,303.928,758404,0.297154,559.189,144
1052,303.753,20011,0.111663,2088.36,145
1053,303.322,3477,0.582106,909.795,146
1056,302.868,1226,0.60301,1189.29,147
1058,302.753,3665,0.15968,371.026,148
1062,302.626,77110,0.313446,603.92,149
1074,302.603,672244,0.0394618,1816.28,150
1077,302.464,2962,0.252492,321.802,151
1082,302.357,154085,0.180128,315.819,152
1083,302.327,881,0.747444,767.021,153
1113,302.067,18763,0.483302,393.472,154
1114,302.029,518634,0.514045,508.244,155
1116,301.979,72399,0.0787531,812.531,156
1136,301.942,104540,0.708482,1023.26,157
1150,301.776,1244,0.5824,3624.09,158
1158,301.724,38374,0.446144,311.692,159
1166,301.57,2719,0.869298,312.409,160
1190,301.336,642536,0.330263,4173.73,161
1206,301.308,20813,0.761388,356.336,162
1213,301.099,17270,0.0917336,428.413,163
1221,300.489,907,0.853121,442.915,164
1238,300.117,2423,0.684631,699.121,165
1241,299.913,4562,0.801483,1145.24,166
1263,299.852,4921,0.181317,406.559,167
1268,299.656,4049,0.258326,853.415,168
1271,299.541,1011428,0.506514,2015.49,169
1274,299.291,3446,0.738986,530.02,170
1294,299.276,20836,0.78719,307.493,171
1307,299.264,47763,0.659754,1788.62,172
1319,299.245,687,0.598591,2299.75,173
1339,299.205,29579,0.59594,348.109,174
1345,299.086,2846,0.847804,355.348,175
1346,298.619,1679,0.185132,303.513,176
1350,298.475,8184,0.932579,413.083,177
1351,298.358,27803,0.666767,1929.6,178
1352,298.275,11866,0.596743,431.014,179
1361,298.208,2686,0.689193,4316.36,180
1366,298.177,850,0.799984,630.271,181
1380,298.062,660234,0.161663,329.88,182
1399,297.762,642877,0.61612,320.797,183
1400,297.706,6518,0.605862,503.551,184
1412,297.514,1168,0.712958,596.155,185
1413,297.506,482708,0.433301,9274.15,186
1416,297.409,4904,0.277271,368.79,187
1431,297.385,3168,0.681206,468.191,188
1434,297.315,38409,0.202113,472.415,189
1440,296.982,41561,0.382938,298.444,190
1447,296.767,63732,0.629818,437.967,191
1448,296.666,997937,0.658781,325.239,192
1456,296.077,167,0.272846,1160.28,193
1475,296.012,2822,0.817174,526.905,194
1479,295.332,1232,0.874514,640.13,195
1500,295.283,27836,0.710719,4728.36,196
1510,295.228,104683,0.879388,1380.53,197
1519,295.093,71119,0.37736,617.582,198
1529,295.068,22014,0.211057,766.932,199
1533,294.856,71075,0.191254,1405.94,200
1536,294.574,234692,0.0998544,328.563,201
1537,294.442,20753,0.65197,298.498,202
1552,294.438,373537,0.431558,614.285,203
1564,294.242,646367,0.23527,758.424,204
1570,294.08,2316,0.933684,1926.15,205
1572,293.948,2782,0.90916,2221.19,206
1576,293.329,4814,0.30983,507.813,207
1585,293.321,20868,0.695094,400.183,208
1596,293.275,660238,0.290912,1535.3,209
1601,292.753,3683,0.169579,382.274,210
1610,292.573,6475,0.695432,306.382,211
1622,292.381,1808,0.846,483.69,212
1625,292.04,340,0.811703,2318.03,213
1640,291.968,1203,0.302493,427.365,214
1644,291.861,1179,0.800029,935.402,215
1647,291.454,802056,0.0814374,454.915,216
1654,291.174,37398,0.187893,497.794,217
1656,290.935,131024,0.22683,628.243,218
1663,290.497,6269,0.824991,661.141,219
1668,290.447,2982,0.839271,582.498,220
1697,290.386,645693,0.590628,1329.37,221
1700,290.354,640017,0.760639,862.492,222
1701,290.127,1860,0.447147,293.208,223
1704,290.045,114387,0.558665,408.871,224
1709,289.988,1007994,0.523069,470.651,225
1716,289.888,700,0.925001,893.907,226
1753,289.605,51821,0.238716,309.635,227
1779,289.487,12825,0.832555,363.918,228
1788,289.428,2422,0.950836,1578.47,229
1798,289.361,5203,0.843066,523.178,230
1801,289.107,702853,0.333004,854.232,231
1805,289.082,60085,0.966072,1487.54,232
1812,288.872,122853,0.239998,379.483,233
1815,288.672,2538,0.951479,2186.84,234
1863,288.661,1243,0.698936,927.185,235
1869,288.557,636736,0.79266,965.881,236
1872,288.263,1118,0.925359,815.766,237
