seen,influence_threshold,user_index,ap, infScore, seed_size
11,400.597,657449,0,1787.38,1
21,400.229,1239,0,1166.79,2
26,400.164,5205,0.000581737,568.895,3
47,399.618,6400,0.000315512,652.391,4
52,399.602,3424,0.000849441,2772.71,5
58,399.578,26084,0.00382893,1834.65,6
59,399.478,102903,0.000214504,774.278,7
64,399.091,642782,0.00218083,919.696,8
75,399.037,3491,0.00156238,1046.49,9
80,398.348,729,0.00619092,749.683,10
81,397.622,469,0.0046871,1225.56,11
85,396.474,21159,0.00118722,889.53,12
92,396.073,62903,0.00388467,454.336,13
102,395.569,179149,0.000470928,922.323,14
103,395.377,662634,0.0110962,2131.13,15
105,395.317,1071,0.00360527,24537,16
118,394.782,883,0.058161,1677.07,17
120,394.738,1587,0.00417824,529.651,18
132,394.568,38384,0.0130245,1532.74,19
137,394.17,928,0.061465,7200.25,20
142,394.158,69931,0.00766348,912.625,21
143,393.788,1210,0.15997,1460.04,22
147,393.28,362,0.0376177,13109.6,23
150,393.084,89639,0.00716225,427.102,24
157,393.06,2774,0.0270013,720.144,25
172,392.872,645916,0.00822789,1784.67,26
182,392.871,646628,0.0030721,701.346,27
183,392.489,2485,0.0461268,413.784,28
184,392.381,8256,0.064151,440.31,29
202,392.058,268336,0.00803593,1417.77,30
203,390.877,3008,0.112658,453.774,31
206,390.759,91958,0.0125702,750.203,32
209,390.046,47794,0.0278333,619.623,33
215,389.671,1036,0.0538863,1396.76,34
231,389.375,1190,0.0338899,3540.22,35
237,389.07,18858,0.0127886,1329.73,36
239,388.892,20234,0.0587172,929.158,37
248,388.684,516,0.0390076,2725.67,38
307,388.046,13024,0.0822479,1313.41,39
316,387.812,14702,0.0248447,549.644,40
327,387.741,20795,0.0394807,534.376,41
329,387.708,77260,0.0483017,422.234,42
388,386.382,2759,0.0985782,993.39,43
399,386.274,3162,0.106238,1954.93,44
400,386.063,2720,0.107533,751.246,45
409,385.798,3523,0.100747,1308.19,46
416,385.483,889,0.133709,1616.56,47
418,384.55,275,0.128455,779.855,48
424,384.381,35660,0.00727733,10455.8,49
426,383.964,403,0.178222,1831.88,50
431,383.642,280435,0.0524977,2521.28,51
441,383.63,661610,0.0509764,1092.3,52
447,383.392,833,0.196076,478.139,53
450,383.369,20081,0.0985664,520.564,54
460,383.297,5826,0.0946297,386.382,55
463,383.1,684215,0.0731612,1352.78,56
479,382.948,648298,0.0455449,608.682,57
483,382.705,108623,0.0774513,4370.35,58
525,382.454,2708,0.0426609,441.733,59
536,382.341,94059,0.0326369,509.898,60
542,382.024,1489,0.10195,2356.72,61
563,381.752,105,0.118014,9732.43,62
570,381.32,106354,0.155283,1924.43,63
571,380.369,23129,0.120623,736.336,64
577,380.269,642861,0.07874,8340.83,65
583,379.82,643719,0.175693,2624.09,66
585,379.635,27976,0.187648,597.395,67
592,379.427,1259,0.163234,1016.64,68
597,378.97,2559,0.109199,548.23,69
602,378.512,2344,0.154014,883.656,70
612,378.389,155431,0.149512,2691.17,71
613,378.207,18613,0.0667169,451.496,72
636,378.145,722,0.254409,1881.31,73
637,378.108,3899,0.0715102,666.96,74
652,377.918,3101,0.0772377,976.286,75
655,377.25,801,0.409045,1186.61,76
661,377.224,115240,0.257423,2635.59,77
670,377.184,4541,0.22185,1417.88,78
671,377.082,18172,0.160006,1197.79,79
681,376.963,2525,0.245436,3382.65,80
685,376.691,642490,0.411765,3197.25,81
701,375.79,8879,0.250475,608.348,82
706,374.864,3916,0.0675668,431.966,83
717,374.824,515983,0.566573,708.955,84
719,374.693,805,0.38632,1976.62,85
720,374.49,642,0.15265,404.81,86
725,373.277,742,0.428059,1052.34,87
730,373.026,646255,0.15292,1767.64,88
732,371.918,650456,0.0484802,472.503,89
733,371.579,27543,0.0711521,1952.66,90
736,371.493,61543,0.32129,399.618,91
742,370.501,6210,0.29666,539.68,92
747,370.499,1845,0.246933,3837.39,93
751,369.208,2608,0.368319,414.39,94
754,369.144,15143,0.360003,783.555,95
782,369.024,196,0.256216,2001.28,96
787,368.715,37027,0.069785,716.084,97
793,368.68,37063,0.0854844,776.173,98
796,368.676,1009453,0.318237,625.318,99
800,368.372,21080,0.249256,477.144,100
804,367.627,3219,0.302193,408.652,101
813,367.524,2810,0.367932,957.59,102
816,367.048,357530,0.410614,2067.82,103
825,366.8,657357,0.0652384,888.135,104
835,366.586,254926,0.231339,1397.72,105
837,366.385,3371,0.540343,562.29,106
838,366.087,75543,0.317961,1583.57,107
841,366.035,36072,0.121316,513.094,108
862,365.536,132538,0.0905196,540.166,109
868,365.348,807,0.365686,5735.15,110
883,365.336,26352,0.0270372,513.204,111
899,364.967,62875,0.426842,1945.53,112
902,364.926,18105,0.251736,706.009,113
903,364.748,663582,0.473797,421.357,114
919,364.633,110104,0.181231,2532.99,115
924,364.275,20024,0.159,1801.85,116
945,364.174,20964,0.314517,381.752,117
946,363.841,78636,0.149509,477.085,118
950,363.623,2844,0.298119,1486.14,119
951,363.516,2282,0.555116,2060.83,120
953,363.5,9734,0.489266,615.658,121
963,363.496,27203,0.0736108,382.948,122
964,363.332,479,0.478706,4009.7,123
981,363.099,16013,0.488724,419.238,124
984,363.097,108601,0.10264,2007.08,125
988,362.993,79719,0.539647,418.372,126
990,362.987,131027,0.0441646,626.62,127
1002,362.888,20363,0.210146,2413.2,128
1019,362.772,21,0.420702,1916.31,129
1023,362.687,94026,0.548267,1955.91,130
1041,361.841,758404,0.282577,560.189,131
1052,361.533,20011,0.103296,2098.36,132
1053,360.631,3477,0.557567,922.795,133
1056,359.067,1226,0.578633,1199.29,134
1058,358.696,3665,0.142158,373.026,135
1062,358.421,77110,0.29798,607.92,136
1074,357.818,672244,0.0383706,1817.28,137
1083,357.429,881,0.721423,787.021,138
1113,357.069,18763,0.41617,401.472,139
1114,357.048,518634,0.489863,510.244,140
1116,356.88,72399,0.0645692,819.531,141
1136,356.861,104540,0.685375,1031.26,142
1150,356.689,1244,0.569146,3630.09,143
1190,355.387,642536,0.314334,4182.73,144
1206,355.292,20813,0.714772,365.336,145
1213,355.199,17270,0.0835674,429.413,146
1221,355.182,907,0.832732,462.915,147
1238,354.928,2423,0.653536,711.121,148
1241,354.866,4562,0.77065,1159.24,149
1263,354.863,4921,0.145267,408.559,150
1268,354.32,4049,0.234272,858.415,151
1271,354.285,1011428,0.483852,2044.49,152
1274,354.088,3446,0.715928,544.02,153
1307,354.002,47763,0.625938,1802.62,154
1319,353.945,687,0.576793,2317.75,155
1345,353.877,2846,0.829887,365.348,156
1350,353.406,8184,0.908848,428.083,157
1351,353.218,27803,0.633745,1936.6,158
1352,353.152,11866,0.494719,446.014,159
1361,353.033,2686,0.658185,4335.36,160
1366,352.984,850,0.779159,643.271,161
1400,352.519,6518,0.506124,511.551,162
1412,352.322,1168,0.624852,615.155,163
1413,352.298,482708,0.417834,9289.15,164
1416,352.27,4904,0.250279,375.79,165
1431,352.109,3168,0.659216,476.191,166
1434,351.877,38409,0.193355,472.415,167
1447,351.826,63732,0.577272,440.967,168
1456,351.707,167,0.240756,1180.28,169
1475,351.679,2822,0.792756,549.905,170
1479,351.219,1232,0.856796,667.13,171
1500,351.204,27836,0.681775,4746.36,172
1510,351.18,104683,0.85585,1394.53,173
1519,351.028,71119,0.332596,622.582,174
1529,351.026,22014,0.200561,769.932,175
1533,350.81,71075,0.163161,1412.94,176
1552,350.757,373537,0.407878,614.285,177
1564,350.483,646367,0.224247,762.424,178
1570,350.178,2316,0.918894,1948.15,179
1572,349.989,2782,0.892935,2234.19,180
1576,349.912,4814,0.270858,509.813,181
1585,349.709,20868,0.621965,412.183,182
1596,348.941,660238,0.252661,1538.3,183
1601,348.784,3683,0.139155,386.274,184
1622,348.737,1808,0.765331,507.69,185
1625,348.211,340,0.793158,2342.03,186
1640,347.282,1203,0.289653,427.365,187
1644,347.034,1179,0.781507,955.402,188
1647,346.767,802056,0.0703974,456.915,189
1654,346.334,37398,0.145336,504.794,190
1656,346.19,131024,0.21688,629.243,191
1663,346.166,6269,0.802439,677.141,192
1668,345.582,2982,0.821903,602.498,193
1697,345.26,645693,0.545514,1336.37,194
1700,344.478,640017,0.745781,864.492,195
1704,342.895,114387,0.52632,409.871,196
1709,342.659,1007994,0.477665,471.651,197
1716,342.449,700,0.895526,931.907,198
1779,342.396,12825,0.814366,371.918,199
1788,342.114,2422,0.939194,1592.47,200
1798,341.666,5203,0.778095,548.178,201
1801,341.536,702853,0.313664,855.232,202
1805,341.234,60085,0.958249,1506.54,203
1812,341.072,122853,0.157417,385.483,204
1815,340.775,2538,0.942276,2198.84,205
1863,340.641,1243,0.676925,933.185,206
1869,340.261,636736,0.775266,974.881,207
1872,340.249,1118,0.911349,847.766,208
1896,339.913,109988,0.942747,683.605,209
1898,339.805,6267,0.820579,525.158,210
1925,338.991,1311,0.497666,811.445,211
1926,338.563,106984,0.976172,496.911,212
1928,338.024,5693,0.6895,997.027,213
1936,337.949,636156,0.756542,840.249,214
1943,337.722,8335,0.570071,465.746,215
1948,337.296,93539,0.903827,1910.02,216
1951,336.704,4935,0.241217,1318.48,217
1953,335.832,3941,0.406138,412.068,218
1961,335.718,33783,0.32723,489.213,219
1971,335.086,672652,0.376246,596.092,220
1977,332.443,1490,0.683026,2272.84,221
1997,332.052,28179,0.35317,392.381,222
2020,331.874,831,0.611913,3989.1,223
2038,331.867,1707,0.939075,439.549,224
2040,331.853,27171,0.746107,399.478,225
2046,331.797,21341,0.649858,588.722,226
2049,331.633,642539,0.216871,1523.18,227
2071,331.188,662159,0.466834,901.869,228
2077,331.159,69853,0.714062,1052.97,229
2083,331.023,11905,0.549763,428.923,230
2086,330.354,2953,0.385614,665.286,231
2129,330.166,32877,0.845041,447.37,232
2133,329.88,919,0.912686,615.51,233
2138,329.639,33,0.532752,1008.77,234
2143,329.563,93,0.887258,526.261,235
2159,329.476,698535,0.119673,428.366,236
2220,328.924,825,0.887961,1722.99,237
2238,328.765,1271,0.896958,1335.58,238
2241,328.295,20635,0.686969,354.863,239
2243,327.425,684219,0.192049,1067.23,240
2255,327.394,1574,0.511769,1038.54,241
2272,327.17,1182,0.83488,1866.54,242
2297,326.842,645647,0.376387,791.556,243
2299,326.825,17685,0.620721,367.524,244
2302,326.723,697830,0.165525,800.626,245
2310,326.438,209,0.877804,2498.95,246
2315,326.023,30374,0.628311,396.073,247
2322,325.928,17404,0.968166,1193.84,248
2323,325.802,77607,0.887091,945.205,249
2343,325.618,1273,0.823864,1989.23,250
2358,325.325,75044,0.325445,513.241,251
2372,325.273,5234,0.835292,855.195,252
2383,325.239,75183,0.177877,473.574,253
2392,325.065,1258,0.860159,1251.59,254
2393,324.839,4942,0.471127,473.395,255
2396,324.472,660221,0.72534,324.839,256
2400,324.409,3112,0.969701,483.974,257
2410,324.307,3,0.812499,2634.84,258
2423,324.144,79927,0.12927,495.072,259
2430,324.137,122395,0.0639766,567.087,260
2435,323.982,7827,0.879702,847.434,261
2458,323.919,1265,0.904272,402.031,262
2469,323.85,678165,0.2409,693.138,263
2491,323.643,62833,0.518312,364.633,264
2520,323.45,17263,0.626914,506.708,265
2524,323.346,1001507,0.109946,1384.37,266
2527,323.327,46,0.699382,749.509,267
2534,322.871,480825,0.887605,673.54,268
2564,322.664,80175,0.344613,431.901,269
2581,322.129,4418,0.922816,592.877,270
2590,321.997,13567,0.917615,1020.03,271
2617,321.985,104537,0.964312,389.375,272
2619,321.937,695405,0.171746,960.278,273
2630,321.366,105477,0.955153,2532.56,274
2643,321.126,57914,0.704479,367.627,275
2651,321.119,838,0.850361,728.542,276
2655,320.871,13737,0.936909,360.631,277
2656,320.805,644920,0.954585,1055.71,278
2657,320.59,20323,0.647073,736.495,279
2658,320.373,104539,0.966239,402.676,280
2666,320.353,9357,0.54324,422.305,281
2683,320.346,956,0.969392,763.933,282
2706,320.314,676602,0.170229,2697.44,283
2710,319.954,3306,0.448168,802.693,284
2724,319.819,104582,0.977049,416.432,285
2735,319.754,123842,0.18053,438.653,286
2737,319.692,951,0.966152,931.199,287
